Job ID,Job Title,Company,City,Role,Experience Level,Work Type,Posted Date,Skill,Salary_LPA
J0001,Data Analyst,Accenture,Pune,Data Analyst,Entry Level,Hybrid,23/06/2026,Python,7.3
J0002,Data Engineer,Infosys,Noida,Data Engineer,Entry Level,Full-time,10/05/2026,Python,6.7
J0003,Data Engineer,Accenture,Noida,Data Engineer,Junior,Full-time,11/08/2026,SQL,5.8
J0004,Business Analyst,Capgemini,Delhi,Business Analyst,Entry Level,Remote,28/03/2026,Tableau,4.7
J0005,BI Analyst,EY,Delhi,BI Analyst,Entry Level,Full-time,12/01/2026,Power BI,7.2
J0006,Data Engineer,TCS,Noida,Data Engineer,Junior,Hybrid,08/06/2026,Python,9.3
J0007,Data Scientist,Microsoft,Mumbai,Data Scientist,Entry Level,Hybrid,17/07/2026,Statistics,5.5
J0008,Data Analyst,Deloitte,Chennai,Data Analyst,Entry Level,Hybrid,04/04/2026,SQL,5
J0009,Data Scientist,Microsoft,Pune,Data Scientist,Senior Level,Hybrid,05/06/2026,SQL,15.3
J0010,Data Engineer,IBM,Hyderabad,Data Engineer,Junior,Remote,13/06/2026,SQL,8.6
J0011,Business Analyst,Accenture,Bengaluru,Business Analyst,Mid Level,Hybrid,13/04/2026,Power BI,9.9
J0012,Business Analyst,Accenture,Delhi,Business Analyst,Mid Level,Full-time,14/06/2026,Jira,10.6
J0013,Data Scientist,Microsoft,Mumbai,Data Scientist,Junior,Full-time,30/05/2026,SQL,7.5
J0014,Data Engineer,Accenture,Delhi,Data Engineer,Senior Level,Full-time,07/05/2026,ETL,13.2
J0015,Data Analyst,Amazon,Hyderabad,Data Analyst,Entry Level,Hybrid,02/06/2026,Python,4.6
J0016,BI Analyst,HCLTech,Gurugram,BI Analyst,Entry Level,Full-time,03/01/2026,DAX,7
J0017,Data Analyst,Genpact,Pune,Data Analyst,Junior,Full-time,22/04/2026,Tableau,6.4
J0018,Data Analyst,HCLTech,Hyderabad,Data Analyst,Senior Level,Remote,18/03/2026,Excel,16.2
J0019,Data Engineer,Wipro,Mumbai,Data Engineer,Junior,Full-time,19/07/2026,Spark,9.5
J0020,Data Analyst,IBM,Delhi,Data Analyst,Entry Level,Remote,13/08/2026,Tableau,8.2
J0021,Data Scientist,Accenture,Bengaluru,Data Scientist,Mid Level,Remote,22/01/2026,SQL,11.7
J0022,Data Analyst,Wipro,Hyderabad,Data Analyst,Mid Level,Remote,12/02/2026,Tableau,9.9
J0023,Data Engineer,KPMG,Mumbai,Data Engineer,Junior,Hybrid,21/02/2026,ETL,8.7
J0024,BI Analyst,KPMG,Gurugram,BI Analyst,Junior,Full-time,27/02/2026,Excel,6.1
J0025,Data Analyst,Tech Mahindra,Mumbai,Data Analyst,Entry Level,Full-time,11/06/2026,Tableau,4.5
J0026,Data Analyst,TCS,Delhi,Data Analyst,Junior,Full-time,05/05/2026,Python,6.7
J0027,Business Analyst,Accenture,Gurugram,Business Analyst,Mid Level,Hybrid,18/02/2026,Jira,9.2
J0028,BI Analyst,Deloitte,Noida,BI Analyst,Junior,Hybrid,22/06/2026,Excel,8.4
J0029,Data Analyst,Microsoft,Noida,Data Analyst,Entry Level,Remote,05/03/2026,Python,5.1
J0030,Data Engineer,Deloitte,Hyderabad,Data Engineer,Entry Level,Full-time,12/08/2026,ETL,8
J0031,BI Analyst,Infosys,Chennai,BI Analyst,Mid Level,Full-time,04/01/2026,DAX,12.7
J0032,Business Analyst,IBM,Noida,Business Analyst,Junior,Remote,20/08/2026,SQL,6
J0033,BI Analyst,Capgemini,Noida,BI Analyst,Senior Level,Hybrid,15/03/2026,Power BI,14.5
J0034,Data Engineer,Accenture,Hyderabad,Data Engineer,Entry Level,Remote,29/05/2026,ETL,7.2
J0035,Data Analyst,Infosys,Bengaluru,Data Analyst,Junior,Full-time,07/08/2026,Excel,7.9
J0036,Data Analyst,EY,Chennai,Data Analyst,Entry Level,Full-time,22/06/2026,Tableau,7.7
J0037,BI Analyst,Tech Mahindra,Mumbai,BI Analyst,Junior,Hybrid,18/04/2026,Power BI,8.4
J0038,Data Engineer,KPMG,Delhi,Data Engineer,Entry Level,Hybrid,22/03/2026,Spark,5.3
J0039,BI Analyst,IBM,Pune,BI Analyst,Entry Level,Hybrid,19/01/2026,SQL,4.3
J0040,Data Engineer,TCS,Chennai,Data Engineer,Junior,Full-time,03/02/2026,Spark,9.5
J0041,Data Analyst,Capgemini,Delhi,Data Analyst,Entry Level,Hybrid,30/06/2026,SQL,5.5
J0042,Data Engineer,KPMG,Pune,Data Engineer,Mid Level,Remote,04/02/2026,Python,9.9
J0043,Data Analyst,Capgemini,Hyderabad,Data Analyst,Entry Level,Full-time,29/03/2026,Tableau,5.1
J0044,Data Scientist,Capgemini,Gurugram,Data Scientist,Senior Level,Hybrid,24/01/2026,Statistics,15.3
J0045,Data Scientist,Cognizant,Bengaluru,Data Scientist,Mid Level,Hybrid,09/03/2026,Python,9.4
J0046,BI Analyst,HCLTech,Noida,BI Analyst,Entry Level,Full-time,15/08/2026,DAX,7.1
J0047,Business Analyst,EY,Bengaluru,Business Analyst,Junior,Full-time,21/04/2026,Jira,6.3
J0048,Data Scientist,KPMG,Bengaluru,Data Scientist,Junior,Hybrid,20/06/2026,Machine Learning,6.2
J0049,Data Engineer,KPMG,Hyderabad,Data Engineer,Senior Level,Remote,24/07/2026,ETL,16
J0050,BI Analyst,Microsoft,Hyderabad,BI Analyst,Senior Level,Hybrid,16/04/2026,Power BI,16
J0051,Business Analyst,Genpact,Hyderabad,Business Analyst,Mid Level,Full-time,10/01/2026,Power BI,12.2
J0052,Business Analyst,Cognizant,Gurugram,Business Analyst,Entry Level,Hybrid,28/02/2026,SQL,5.2
J0053,Business Analyst,Capgemini,Delhi,Business Analyst,Mid Level,Remote,13/03/2026,Tableau,10.2
J0054,Data Engineer,Infosys,Delhi,Data Engineer,Entry Level,Remote,15/02/2026,ETL,6.6
J0055,Data Scientist,Tech Mahindra,Chennai,Data Scientist,Junior,Hybrid,22/03/2026,Python,7.5
J0056,Data Engineer,KPMG,Noida,Data Engineer,Junior,Full-time,01/07/2026,Python,7.5
J0057,Data Engineer,Cognizant,Mumbai,Data Engineer,Junior,Remote,26/03/2026,Spark,8.3
J0058,Data Analyst,Amazon,Pune,Data Analyst,Junior,Full-time,17/03/2026,Excel,8
J0059,Business Analyst,Amazon,Noida,Business Analyst,Mid Level,Full-time,26/05/2026,Tableau,10
J0060,Data Engineer,Capgemini,Pune,Data Engineer,Entry Level,Hybrid,05/06/2026,Python,6.9
J0061,BI Analyst,Amazon,Gurugram,BI Analyst,Entry Level,Full-time,19/08/2026,Tableau,8.1
J0062,Business Analyst,HCLTech,Pune,Business Analyst,Mid Level,Hybrid,24/01/2026,Excel,12.1
J0063,Business Analyst,Genpact,Mumbai,Business Analyst,Entry Level,Full-time,04/03/2026,Power BI,8.2
J0064,Data Engineer,Deloitte,Gurugram,Data Engineer,Mid Level,Full-time,03/07/2026,Python,11.6
J0065,BI Analyst,Wipro,Mumbai,BI Analyst,Mid Level,Full-time,12/07/2026,Tableau,12.2
J0066,Data Analyst,Wipro,Mumbai,Data Analyst,Mid Level,Hybrid,29/04/2026,Power BI,9
J0067,Business Analyst,Wipro,Gurugram,Business Analyst,Mid Level,Hybrid,24/05/2026,Excel,11.2
J0068,BI Analyst,EY,Noida,BI Analyst,Senior Level,Full-time,10/02/2026,DAX,15.8
J0069,BI Analyst,Genpact,Pune,BI Analyst,Entry Level,Hybrid,16/07/2026,Tableau,7.4
J0070,BI Analyst,IBM,Pune,BI Analyst,Entry Level,Full-time,11/03/2026,SQL,5.6
J0071,Data Engineer,Wipro,Hyderabad,Data Engineer,Entry Level,Hybrid,30/06/2026,Python,5.2
J0072,BI Analyst,HCLTech,Delhi,BI Analyst,Junior,Full-time,02/08/2026,Tableau,7.5
J0073,Data Engineer,IBM,Noida,Data Engineer,Entry Level,Full-time,12/07/2026,Python,5.9
J0074,BI Analyst,IBM,Mumbai,BI Analyst,Entry Level,Full-time,08/01/2026,DAX,5.9
J0075,BI Analyst,KPMG,Gurugram,BI Analyst,Entry Level,Hybrid,07/01/2026,SQL,7.9
J0076,Data Engineer,TCS,Bengaluru,Data Engineer,Junior,Full-time,29/04/2026,Spark,6.5
J0077,Data Scientist,Accenture,Delhi,Data Scientist,Junior,Full-time,14/08/2026,Pandas,7.3
J0078,BI Analyst,IBM,Chennai,BI Analyst,Entry Level,Full-time,31/03/2026,Excel,5.2
J0079,Data Analyst,Accenture,Bengaluru,Data Analyst,Entry Level,Full-time,09/02/2026,Python,5.3
J0080,BI Analyst,IBM,Mumbai,BI Analyst,Mid Level,Hybrid,12/02/2026,Power BI,11.2
J0081,Data Analyst,TCS,Pune,Data Analyst,Junior,Remote,28/05/2026,SQL,8.5
J0082,BI Analyst,TCS,Mumbai,BI Analyst,Junior,Hybrid,04/03/2026,Tableau,6.2
J0083,Data Scientist,Genpact,Chennai,Data Scientist,Senior Level,Hybrid,30/03/2026,Statistics,14.9
J0084,Data Scientist,Infosys,Delhi,Data Scientist,Mid Level,Hybrid,28/01/2026,Python,10.5
J0085,Data Scientist,Deloitte,Hyderabad,Data Scientist,Entry Level,Full-time,16/06/2026,Pandas,5.4
J0086,Data Engineer,Deloitte,Gurugram,Data Engineer,Mid Level,Full-time,24/03/2026,ETL,12.2
J0087,Data Analyst,Accenture,Gurugram,Data Analyst,Mid Level,Full-time,21/06/2026,Excel,10.3
J0088,Data Analyst,Wipro,Delhi,Data Analyst,Junior,Full-time,08/03/2026,Power BI,7.2
J0089,Data Engineer,HCLTech,Bengaluru,Data Engineer,Senior Level,Full-time,04/07/2026,AWS,14.4
J0090,Data Engineer,Amazon,Gurugram,Data Engineer,Mid Level,Full-time,05/01/2026,SQL,9.2
J0091,Business Analyst,Capgemini,Mumbai,Business Analyst,Mid Level,Full-time,22/05/2026,Tableau,10.9
J0092,BI Analyst,Cognizant,Delhi,BI Analyst,Mid Level,Full-time,06/03/2026,DAX,9.7
J0093,Business Analyst,Microsoft,Chennai,Business Analyst,Junior,Hybrid,17/02/2026,Power BI,6.6
J0094,BI Analyst,TCS,Pune,BI Analyst,Mid Level,Full-time,03/04/2026,Excel,9.5
J0095,Data Analyst,Capgemini,Hyderabad,Data Analyst,Entry Level,Full-time,16/03/2026,Tableau,7.1
J0096,Business Analyst,EY,Chennai,Business Analyst,Entry Level,Full-time,03/05/2026,Tableau,6.1
J0097,Business Analyst,EY,Pune,Business Analyst,Junior,Hybrid,13/04/2026,Excel,7.8
J0098,Data Engineer,Wipro,Hyderabad,Data Engineer,Mid Level,Remote,22/01/2026,Python,12.8
J0099,Data Analyst,Tech Mahindra,Noida,Data Analyst,Junior,Hybrid,18/07/2026,Tableau,7.9
J0100,BI Analyst,EY,Pune,BI Analyst,Junior,Full-time,26/05/2026,Tableau,8.3
J0101,Data Engineer,Amazon,Mumbai,Data Engineer,Entry Level,Hybrid,10/02/2026,Python,5.3
J0102,Data Engineer,Infosys,Hyderabad,Data Engineer,Junior,Hybrid,01/05/2026,Python,7
J0103,Business Analyst,Microsoft,Pune,Business Analyst,Mid Level,Full-time,01/03/2026,Power BI,12.5
J0104,Data Engineer,TCS,Noida,Data Engineer,Junior,Hybrid,10/03/2026,SQL,9.1
J0105,Data Analyst,Genpact,Hyderabad,Data Analyst,Entry Level,Hybrid,26/05/2026,Python,8
J0106,BI Analyst,Microsoft,Gurugram,BI Analyst,Entry Level,Full-time,11/03/2026,Power BI,6.3
