video_id,title,channel,category,country,publish date,trending date,views,likes,comments
YT00001,New Technology Explained,TechWorld,Music,Germany,13/06/2026,14/06/2026,1175528,106986,16289
YT00002,Amazing New Video,TrendWave,Howto & Style,Japan,20/05/2026,21/05/2026,790972,26932,8385
YT00003,New Technology Explained,NewsToday,News,Brazil,07/01/2026,15/01/2026,3773238,282310,61802
YT00004,Best Moments Today,MusicBox,Technology,France,02/01/2026,04/01/2026,1811182,208817,13394
YT00005,Amazing Music Performance,GameZone,Gaming,France,24/01/2026,30/01/2026,2223961,219692,33058
YT00006,Top Highlights,SportsArena,Technology,USA,18/05/2026,19/05/2026,3038614,223364,43716
YT00007,New Technology Explained,DailyTube,News,Germany,12/01/2026,22/01/2026,852261,44158,8194
YT00008,Top Highlights,TechWorld,Education,France,04/04/2026,06/04/2026,603967,46508,2567
YT00009,Funny Moments,MusicBox,Comedy,Japan,04/03/2026,06/03/2026,1847265,157585,31429
YT00010,Top Highlights,NewsToday,Music,France,15/01/2026,18/01/2026,560230,18604,10596
YT00011,Best Moments Today,LearnWithUs,Comedy,Japan,22/03/2026,25/03/2026,2226975,56474,33749
YT00012,Complete Guide for Beginners,FunTime,Howto & Style,Japan,18/05/2026,22/05/2026,3041646,103797,60690
YT00013,Best Moments Today,DailyTube,Gaming,India,11/05/2026,18/05/2026,1347026,130834,12151
YT00014,Funny Moments,LearnWithUs,Technology,Australia,17/01/2026,23/01/2026,2114014,246956,36688
YT00015,Incredible Performance,MusicBox,Gaming,Brazil,03/01/2026,13/01/2026,940767,39780,3767
YT00016,Latest Trending Update,SportsArena,Film & Animation,UK,01/01/2026,05/01/2026,2508536,257334,26704
YT00017,Funny Moments,SportsArena,Education,UK,20/02/2026,22/02/2026,9797,743,100
YT00018,New Technology Explained,TrendWave,Sports,Canada,29/01/2026,03/02/2026,4764334,543917,12517
YT00019,Latest News Update,ViralHub,Film & Animation,UK,05/05/2026,06/05/2026,4617086,130035,50907
YT00020,Top Highlights,TechWorld,News,Brazil,05/06/2026,11/06/2026,3351989,400450,44741
YT00021,New Technology Explained,TechWorld,Comedy,USA,23/04/2026,01/05/2026,542088,25580,6601
YT00022,Amazing New Video,DailyTube,News,India,28/02/2026,09/03/2026,1925502,33530,3074
YT00023,Latest News Update,MusicBox,Film & Animation,Canada,26/03/2026,27/03/2026,1802148,124917,26570
YT00024,Complete Guide for Beginners,LearnWithUs,Comedy,Canada,27/05/2026,05/06/2026,1602274,32647,21663
YT00025,Latest Trending Update,TrendWave,Technology,South Korea,01/04/2026,07/04/2026,513455,27874,3823
YT00026,Latest News Update,SportsArena,News,Canada,28/01/2026,31/01/2026,1180934,66612,7430
YT00027,Amazing New Video,DailyTube,Comedy,Brazil,05/03/2026,06/03/2026,4539780,462889,88121
YT00028,New Technology Explained,LearnWithUs,Technology,South Korea,02/03/2026,04/03/2026,3369169,368144,13908
YT00029,Complete Guide for Beginners,MusicBox,Sports,South Korea,01/01/2026,07/01/2026,4667122,386464,47822
YT00030,Funny Moments,FunTime,News,India,18/02/2026,22/02/2026,516349,47647,1077
YT00031,Amazing New Video,ViralHub,Film & Animation,Brazil,30/05/2026,06/06/2026,4264974,80233,19323
YT00032,Amazing Music Performance,DailyTube,News,Japan,02/06/2026,03/06/2026,2070404,152549,3633
YT00033,Incredible Performance,SportsArena,Howto & Style,Australia,21/01/2026,27/01/2026,2192461,71185,32026
YT00034,Latest News Update,MusicBox,Technology,UK,03/03/2026,07/03/2026,2657286,298126,49901
YT00035,Latest Trending Update,DailyTube,Howto & Style,Australia,03/01/2026,10/01/2026,4515004,151013,27265
YT00036,Best Moments Today,MusicBox,News,France,31/03/2026,01/04/2026,3680758,374377,52882
YT00037,Top Highlights,SportsArena,Film & Animation,India,06/06/2026,16/06/2026,873946,99002,3103
YT00038,Top Highlights,MusicBox,Film & Animation,UK,30/01/2026,31/01/2026,1771889,157587,8626
YT00039,Amazing New Video,MusicBox,Film & Animation,South Korea,12/06/2026,16/06/2026,779255,62162,13058
YT00040,Best Moments Today,MusicBox,Education,UK,12/01/2026,12/01/2026,3711384,262338,33870
YT00041,Amazing New Video,SportsArena,Gaming,UK,03/01/2026,04/01/2026,3102208,229799,11831
YT00042,Incredible Performance,TrendWave,Sports,France,02/02/2026,02/02/2026,1767249,150264,24161
YT00043,New Technology Explained,ViralHub,Technology,Australia,01/04/2026,09/04/2026,1368163,160598,22444
YT00044,New Technology Explained,NewsToday,Entertainment,France,16/04/2026,16/04/2026,2243128,61712,32131
YT00045,Latest News Update,TechWorld,Comedy,Canada,08/04/2026,08/04/2026,2938147,128017,47338
YT00046,Incredible Performance,NewsToday,Music,Canada,28/02/2026,03/03/2026,2342091,246104,45368
YT00047,Incredible Performance,SportsArena,Film & Animation,Japan,13/03/2026,18/03/2026,236530,5366,4597
YT00048,Amazing Music Performance,DailyTube,Sports,India,15/02/2026,24/02/2026,3650385,175311,58194
YT00049,Amazing Music Performance,NewsToday,Film & Animation,USA,22/04/2026,01/05/2026,1599496,60811,23139
YT00050,Complete Guide for Beginners,GameZone,Film & Animation,Canada,01/01/2026,09/01/2026,591982,67708,10948
YT00051,Top Highlights,SportsArena,Gaming,Germany,09/06/2026,14/06/2026,3430848,157407,48879
YT00052,Best Moments Today,NewsToday,News,Japan,22/05/2026,24/05/2026,4779000,205996,54532
YT00053,Amazing Music Performance,NewsToday,Sports,Canada,01/01/2026,05/01/2026,2708222,165604,25460
YT00054,Top Highlights,DailyTube,Comedy,UK,24/02/2026,04/03/2026,4328924,359404,55262
YT00055,Best Moments Today,TechWorld,Sports,Canada,24/01/2026,27/01/2026,209895,3165,4133
YT00056,New Technology Explained,FunTime,Comedy,Japan,06/06/2026,07/06/2026,3226044,207697,18181
YT00057,Best Moments Today,TechWorld,Gaming,Japan,17/06/2026,17/06/2026,4349944,265783,50418
YT00058,Funny Moments,SportsArena,Entertainment,South Korea,01/02/2026,08/02/2026,2666688,305347,47832
YT00059,Best Moments Today,LearnWithUs,Technology,Brazil,06/06/2026,14/06/2026,3986857,237248,60934
YT00060,Top Highlights,TechWorld,Film & Animation,South Korea,13/06/2026,17/06/2026,3694918,68441,23754
YT00061,Best Moments Today,DailyTube,Education,Brazil,11/03/2026,16/03/2026,1270259,45016,18018
YT00062,Incredible Performance,NewsToday,Gaming,Japan,30/06/2026,03/07/2026,4556752,279108,9947
YT00063,Complete Guide for Beginners,FunTime,Howto & Style,India,18/04/2026,24/04/2026,4006196,42660,30781
YT00064,New Technology Explained,FunTime,Film & Animation,Brazil,10/04/2026,16/04/2026,4100565,139978,38056
YT00065,Latest News Update,ViralHub,Education,Japan,08/01/2026,14/01/2026,1075619,126793,11991
YT00066,Complete Guide for Beginners,DailyTube,Howto & Style,India,11/04/2026,20/04/2026,1143329,120453,5091
YT00067,Incredible Performance,LearnWithUs,Education,Canada,08/03/2026,14/03/2026,2836159,265848,23266
YT00068,Funny Moments,TrendWave,Gaming,South Korea,18/04/2026,22/04/2026,441925,53026,3380
YT00069,New Technology Explained,TechWorld,Music,India,16/06/2026,17/06/2026,175959,13785,973
YT00070,Latest News Update,TechWorld,Gaming,Australia,02/05/2026,12/05/2026,2154527,203298,9023
YT00071,Amazing Music Performance,DailyTube,Entertainment,Germany,05/06/2026,06/06/2026,220406,24724,2631
YT00072,New Technology Explained,FunTime,News,USA,07/04/2026,13/04/2026,859810,74537,5786
YT00073,Incredible Performance,TrendWave,Gaming,Australia,25/06/2026,04/07/2026,4473991,255561,35974
YT00074,Latest News Update,NewsToday,Education,India,10/05/2026,20/05/2026,890324,51360,7017
YT00075,Top Highlights,SportsArena,Technology,UK,28/04/2026,30/04/2026,4519521,430306,44438
YT00076,Top Highlights,DailyTube,Education,Canada,01/06/2026,05/06/2026,3786601,139441,37220
YT00077,Latest News Update,TrendWave,Technology,France,06/06/2026,16/06/2026,2731416,81948,13739
YT00078,Funny Moments,MusicBox,Sports,Australia,08/03/2026,13/03/2026,90153,6024,417
YT00079,Latest News Update,TechWorld,Comedy,Brazil,03/03/2026,09/03/2026,4122307,244449,5472
